0.0 0.0 0  -1.0042740847780431 -0.01352378845121052  0.0
0.0 0.0 4  -1.0041983892822668 -0.014498034149225921  0.0
0.0 0.0 8  -1.004107161140801 -0.020066034397667347  0.0
0.0 0.0 12  -1.0020812795170368 0.06470733142205615  0.0
0.0 0.0 16  -0.9860946262501766 0.18953145921830258  0.0
0.0 0.0 20  -0.9545643925196761 0.3116273003782361  0.0
0.0 0.0 24  -0.90798010994702 0.4288086679936664  0.0
0.0 0.0 28  -0.8470764386395262 0.5392274667593275  0.0
0.0 0.0 32  -0.7728138658757503 0.6411423262553195  0.0
0.0 0.0 36  -0.686363556790488 0.7329459882664037  0.0
0.0 0.0 40  -0.5890888844009241 0.8131906542018179  0.0
0.0 0.0 44  -0.48252392839971603 0.8806108177439176  0.0
0.0 0.0 48  -0.36834928180182186 0.934143222638792  0.0
0.0 0.0 52  -0.24836554698871713 0.9729436308825403  0.0
0.0 0.0 56  -0.12446493913321434 0.9964001368589183  0.0
0.0 0.0 60  0.0013985551641698792 1.0041428174564406  0.0
0.0 0.0 64  0.12723999341115885 0.9960495659768304  0.0
0.0 0.0 68  0.25107478095256563 0.972248017830598  0.0
0.0 0.0 72  0.37094996921354706 0.9331135376503621  0.0
0.0 0.0 76  0.4849750548652603 0.8792632995663723  0.0
0.0 0.0 80  0.5913517941916924 0.8115465540017847  0.0
0.0 0.0 84  0.6884025624672837 0.7310312344861764  0.0
0.0 0.0 88  0.7745968111010085 0.6389871157058289  0.0
0.0 0.0 92  0.8485752053019632 0.5368657883984002  0.0
0.0 0.0 96  0.90917106160105 0.426277766899853  0.0
0.0 0.0 100  0.9554287471462217 0.30896709037129916  0.0
0.0 0.0 104  0.9866187506034291 0.18678381825959622  0.0
0.0 0.0 108  1.0022491869861467 0.061654853754695406  0.0
0.0 0.0 112  1.0020735549754494 -0.06444644462474095  0.0
0.0 0.0 116  0.9860946243930631 -0.18953138407400577  0.0
0.0 0.0 120  0.9545643925196229 -0.3116273003758626  0.0
0.0 0.0 124  0.9079801099470199 -0.4288086679936668  0.0
0.0 0.0 128  0.8470764386395263 -0.5392274667593273  0.0
0.0 0.0 132  0.77281386587575 -0.64114232625532  0.0
0.0 0.0 136  0.6863635567904874 -0.7329459882664047  0.0
0.0 0.0 140  0.5890888844009241 -0.8131906542018179  0.0
0.0 0.0 144  0.48252392839971625 -0.8806108177439167  0.0
0.0 0.0 148  0.36834928180182175 -0.9341432226387922  0.0
0.0 0.0 152  0.24836554698871668 -0.9729436308825403  0.0
0.0 0.0 156  0.1244649391332143 -0.996400136858918  0.0
0.0 0.0 160  -0.0013985551641694013 -1.0041428174564413  0.0
0.0 0.0 164  -0.12723999341115888 -0.9960495659768307  0.0
0.0 0.0 168  -0.25107478095256636 -0.972248017830597  0.0
0.0 0.0 172  -0.37094996921354634 -0.9331135376503623  0.0
0.0 0.0 176  -0.48497505486525994 -0.8792632995663704  0.0
0.0 0.0 180  -0.5913517941948697 -0.8115465538801443  0.0
0.0 0.0 184  -0.6884026176212267 -0.7310293434736266  0.0
0.0 0.0 188  -0.7746864348109087 -0.636499702152155  0.0
0.0 0.0 192  -0.8545891058959282 -0.4413481927244334  0.0
0.0 0.0 196  -0.9370278916430759 -0.20854289989720684  0.0
