0.0 0.0 0  6.123233995736766E-17 1.0  0.0
0.0 0.0 4  -2.1327005436237256E-4 0.9982927033660592  0.0
0.0 0.0 8  -0.00654364996160997 0.9965559071238742  0.0
0.0 0.0 12  0.061776897933774645 0.9939671562106999  0.0
0.0 0.0 16  0.18532272298171337 0.9784387261250329  0.0
0.0 0.0 20  0.30649208088433644 0.947496369243019  0.0
0.0 0.0 24  0.42282808302153374 0.9016114338098276  0.0
0.0 0.0 28  0.5324958337122164 0.8415075474690701  0.0
0.0 0.0 32  0.6337658070076657 0.768132584412483  0.0
0.0 0.0 36  0.7250409149332616 0.682643711639548  0.0
0.0 0.0 40  0.8048816945119109 0.5863891397424686  0.0
0.0 0.0 44  0.8720290089550902 0.4808868608197587  0.0
0.0 0.0 48  0.9254239050021671 0.3678007088340346  0.0
0.0 0.0 52  0.9642243132459158 0.2489141199565045  0.0
0.0 0.0 56  0.9878183280700913 0.12610200671317245  0.0
0.0 0.0 60  0.9958338577665349 0.0013011894942862754  0.0
0.0 0.0 64  0.9881444926436882 -0.12352014826021768  0.0
0.0 0.0 68  0.9648714985829435 -0.24639349948929873  0.0
0.0 0.0 72  0.9263819046032506 -0.3653810780430907  0.0
0.0 0.0 76  0.8732827145942399 -0.4786063787280676  0.0
0.0 0.0 80  0.8064113345022695 -0.5842837709149098  0.0
0.0 0.0 84  0.7268223659384178 -0.6807466590002171  0.0
0.0 0.0 88  0.6357709744810816 -0.7664737656147498  0.0
0.0 0.0 92  0.5346930949650075 -0.8401131230763037  0.0
0.0 0.0 96  0.42518278593116315 -0.900503394727689  0.0
0.0 0.0 100  0.3089670903712989 -0.9466921899095667  0.0
0.0 0.0 104  0.18787879922828596 -0.9779510837300686  0.0
0.0 0.0 108  0.06382754718808861 -0.9937871047604865  0.0
0.0 0.0 112  -0.061230303399993545 -0.9939505094891907  0.0
0.0 0.0 116  -0.18532251552624787 -0.9784387209259976  0.0
0.0 0.0 120  -0.3064920808763477 -0.9474963692428396  0.0
0.0 0.0 124  -0.4228280830215338 -0.9016114338098278  0.0
0.0 0.0 128  -0.532495833712217 -0.8415075474690704  0.0
0.0 0.0 132  -0.6337658070076654 -0.7681325844124836  0.0
0.0 0.0 136  -0.7250409149332616 -0.6826437116395474  0.0
0.0 0.0 140  -0.8048816945119106 -0.5863891397424689  0.0
0.0 0.0 144  -0.8720290089550895 -0.48088686081975845  0.0
0.0 0.0 148  -0.9254239050021673 -0.36780070883403426  0.0
0.0 0.0 152  -0.9642243132459158 -0.24891411995650414  0.0
0.0 0.0 156  -0.9878183280700911 -0.1261020067131719  0.0
0.0 0.0 160  -0.9958338577665345 -0.001301189494286448  0.0
0.0 0.0 164  -0.9881444926436882 0.1235201482602178  0.0
0.0 0.0 168  -0.9648714985829436 0.2463934994892983  0.0
0.0 0.0 172  -0.9263819046032509 0.3653810780430902  0.0
0.0 0.0 176  -0.8732827145942396 0.4786063787280672  0.0
0.0 0.0 180  -0.8064113345286879 0.5842837709142277  0.0
0.0 0.0 184  -0.72682292473605 0.6807466430273283  0.0
0.0 0.0 188  -0.6368737501455525 0.7664356424398151  0.0
0.0 0.0 192  -0.6092021272310163 0.8359382221568211  0.0
0.0 0.0 196  -0.6268423952197972 0.8765661437028063  0.0
